"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jun 28 08:15:58 GMT 2023","Wed Jun 28 08:15:58 GMT 2023","247","tests","test_api","TestBookstoreAPI","","","test_request_all_book_orders",""
"failed","Wed Jun 28 08:16:00 GMT 2023","Wed Jun 28 08:16:01 GMT 2023","359","tests","test_api","TestBookstoreAPI","","","test_delete_existing_order",""
"passed","Wed Jun 28 08:15:57 GMT 2023","Wed Jun 28 08:15:57 GMT 2023","248","tests","test_api","TestBookstoreAPI","","","test_request_non_existent_book",""
"failed","Wed Jun 28 08:15:59 GMT 2023","Wed Jun 28 08:15:59 GMT 2023","246","tests","test_api","TestBookstoreAPI","","","test_request_order_by_invalid_id",""
"passed","Wed Jun 28 08:15:56 GMT 2023","Wed Jun 28 08:15:56 GMT 2023","277","tests","test_api","TestBookstoreAPI","","","test_request_list_of_non_fiction_books",""
"passed","Wed Jun 28 08:15:56 GMT 2023","Wed Jun 28 08:15:57 GMT 2023","278","tests","test_api","TestBookstoreAPI","","","test_request_single_book",""
"passed","Wed Jun 28 08:15:56 GMT 2023","Wed Jun 28 08:15:56 GMT 2023","235","tests","test_api","TestBookstoreAPI","","","test_request_non_existent_book_type",""
"failed","Wed Jun 28 08:16:00 GMT 2023","Wed Jun 28 08:16:00 GMT 2023","285","tests","test_api","TestBookstoreAPI","","","test_updating_invalid_order",""
"failed","Wed Jun 28 08:15:57 GMT 2023","Wed Jun 28 08:15:57 GMT 2023","290","tests","test_api","TestBookstoreAPI","","","test_submit_new_book_order",""
"passed","Wed Jun 28 08:15:56 GMT 2023","Wed Jun 28 08:15:56 GMT 2023","275","tests","test_api","TestBookstoreAPI","","","test_request_list_of_fiction_books",""
"failed","Wed Jun 28 08:15:59 GMT 2023","Wed Jun 28 08:16:00 GMT 2023","238","tests","test_api","TestBookstoreAPI","","","test_updating_existing_order",""
"passed","Wed Jun 28 08:15:54 GMT 2023","Wed Jun 28 08:15:55 GMT 2023","1008","tests","test_api","TestBookstoreAPI","","","test_request_status",""
"passed","Wed Jun 28 08:15:58 GMT 2023","Wed Jun 28 08:15:59 GMT 2023","240","tests","test_api","TestBookstoreAPI","","","test_unauthorised_request_all_book_orders",""
"passed","Wed Jun 28 08:16:00 GMT 2023","Wed Jun 28 08:16:00 GMT 2023","292","tests","test_api","TestBookstoreAPI","","","test_unauthorized_updating_existing_order",""
"failed","Wed Jun 28 08:15:59 GMT 2023","Wed Jun 28 08:15:59 GMT 2023","302","tests","test_api","TestBookstoreAPI","","","test_request_order_by_id",""
"passed","Wed Jun 28 08:15:58 GMT 2023","Wed Jun 28 08:15:58 GMT 2023","272","tests","test_api","TestBookstoreAPI","","","test_submit_unauthorised_order",""
"failed","Wed Jun 28 08:15:57 GMT 2023","Wed Jun 28 08:15:57 GMT 2023","349","tests","test_api","TestBookstoreAPI","","","test_register_new_user",""
"passed","Wed Jun 28 08:15:59 GMT 2023","Wed Jun 28 08:15:59 GMT 2023","241","tests","test_api","TestBookstoreAPI","","","test_unauthorised_request_order_by_id",""
"passed","Wed Jun 28 08:15:55 GMT 2023","Wed Jun 28 08:15:56 GMT 2023","419","tests","test_api","TestBookstoreAPI","","","test_request_list_of_all_books",""
"failed","Wed Jun 28 08:15:58 GMT 2023","Wed Jun 28 08:15:58 GMT 2023","316","tests","test_api","TestBookstoreAPI","","","test_submit_order_with_invalid_or_non_existent_id",""
